Caption,Compound,Negative,Neutral,Positive
" 🇬🇧 🦁 TBT : sunny skies at Trafalgar Square , London 🦁 🇬🇧 # trafalgarsquare # london # statue # lion # tbt # throwbackthursday # throwback # takemeback",0.4215,0.0,0.865,0.135
" Not something you would usually see , starry skies over Nelsons column and Trafalgar Square . Getting creative . . . ===================================== London , England ===================================== . . # london # city # cityscape # stars # starscape # astrophotography # beautiful # love # travel # explore # createcommune # art # photography # nikon # nikontop # tourtheplanet # instagram # jaw_dropping_shots # londoncollective # worldofamateur # amateurpick # picoftheday # roamtheplanet # ig_cameras_united # earth_showcase # streetphotography # creativeculture # Instagram # instatravelling # moodygrams",0.9001,0.0,0.81,0.19
 Und plötzlich hatte der ganze Trafalgar Square was zu lachen ... 🦁 # london # trafalgarsquare # lion # throwback # tb # takemeback # travel # petitejoys # laughhard # imadeit # thisislondon # goodmemories,0.0,0.0,1.0,0.0
 regram @ xcamillak @ kthing_imagery,0.0,0.0,1.0,0.0
 A little # throwback to # London giving the Canadian Embassy a thumbs up ! Happy 150 🇨🇦 # saturday # weekend # longweekend # canada # travel # travelgram # solotravel # England # uk # selfie # smile # glasses # rainyday # ootd # motd # fotd # lotd # makeup # brows,0.8356,0.0,0.765,0.235
 From a time when the heat did n't make it impossible to leave the house .,-0.0516,0.085,0.915,0.0
 Happy Birthday to the more talented and better looking sister of the bunch . Do n't ever change 💛🌸,0.8874,0.0,0.589,0.411
 : ( ( ( ( ( ( saknar,0.0,0.0,1.0,0.0
 🏳️‍🌈🇬🇧 # tbt,0.0,0.0,1.0,0.0
 Gloomy‼️ # tbt 🔙 # throughbackthursday # trafalgarsquare # london # londoncity # cloudysky # landscape # landscapephotography # instagood # instadaily # traveling,0.0,0.0,1.0,0.0
 Do you like Harry Potter ? Because I a-Dumbledore you❤ Happy Birthday to my better Austrian half ! I miss being your flatmate and laughing/ crying our way through the majority of cinematic history . And Sherlock . Ich liebe dich ! . . . # austria # california # sisterroomies # MelissagoestoEurope,0.717,0.097,0.703,0.2
 Trafalgar Square # tiramosdecarrete # chemita # london # travel # friends # vuitornar # necesitoviatjar 🌎🌍🌏,0.4767,0.0,0.744,0.256
 Nelson 's Column 🇬🇧___________________________________ # london # england # uk # travel # travelgram # travelphotography # blue # sky # clouds # city # monument # instapic # instagood # instadaily # happy # memories # 2017 # landscape # landscapephotography # landscape_lovers # landscape_captures # nofilter # iphone # iphoneonly # iphonephotography # iphone7,0.5719,0.0,0.887,0.113
 “ I would be happy to learn just half the stuff I already thought I learned. ” –Unknown # stairs # stairdesign # loft # loftstyle # repairs # homedesign # lifestyle # style # designporn,0.5719,0.0,0.861,0.139
 👍 # london # uk # travel # globetripping,0.0,0.0,1.0,0.0
" Paz estática , anti-gravitacional al tiempo .",0.0,0.0,1.0,0.0
 🦁 . . . . . # trafalgarsquare # london # england # Lion # LionOrder # Uk # travelisthenewclub,0.0,0.0,1.0,0.0
 🚶🏾🚶🏾,0.0,0.0,1.0,0.0
 Going for a walk,0.0,0.0,1.0,0.0
 I 'm a big fan of Trafalgar Square and dancing around in the street 🐌 # trafalgarsquare # ballet # dancer # london # PedestriansEnPointe # pineapplestudios,0.3182,0.0,0.887,0.113
 ❤️💂🏻🇬🇧,0.0,0.0,1.0,0.0
 mega # tb 💚🇬🇧,0.0,0.0,1.0,0.0
 Good early evening # Saturday ( Photo credit : Yussouf Khaizaran ) # Filmmaker # Producer # Author # YoussefKhaizaran # Photography # Photo # PhotographersofInstagram # Photographie # Fotografia # PhotooftheDay # Foto # landscapelovers # awesome_earthpix # naturephotography # awesomelifestyle # travelawesome # london_bigcity # prettylittlelondon # thisislondon # visitlondon # ilovelondon # toplondonphoto # londoncityworld # weownthenight_ldn # unlimitedlondon # londoncitylife # anything_london # trafalgarsquare # London,0.6705,0.0,0.864,0.136
 `` Do n't let your dreams are dreams '',-0.5448,0.392,0.608,0.0
 ☁☁,0.0,0.0,1.0,0.0
 🇬🇧 # trafalgarsquare # london,0.0,0.0,1.0,0.0
 London 's Trafalgar Square is a great place for people-watching . You 'll never meet any actual Londoners there but you will spot people from around the globe . Part one of a # pano ! # adventurebeginsatOM # londonlove # trafalgarsquare # nopigeons,0.4295,0.0,0.921,0.079
" Day 3 : lepak dulu di Trafalgar Square . I 've never thought London would be so lively . Makanan halal pun senang dapat , public transport pun mantap , bandar pun cantik , orang pun baik-baik . I love London ! 😍 . . . # IzzaTravelogue # izzagraphy # izzattravels # izzatxuk # travelogtiger # travel # photography # photooftheday # picoftheday # instagram # instagood # instadaily # instatravel # love # travel # memories # igers # sony # a6000",0.9251,0.0,0.794,0.206
